year,month,value
1848,5,-0.678
1848,6,-0.649
1848,7,-0.536
1848,8,-0.64
1848,9,-0.594
1848,10,-0.68
1848,11,-0.714
1848,12,-0.732
1849,1,-0.736
1849,2,-0.716
1849,3,-0.708
1849,4,-0.695
1849,5,-0.647
1849,6,-0.662
1849,7,-0.764
1849,8,-0.722
1849,9,-0.762
1849,10,-0.746
1849,11,-0.758
1849,12,-0.744
1850,1,-0.731
1850,2,-0.689
1850,3,-0.658
1850,4,-0.728
1850,5,-0.827
1850,6,-0.778
1850,7,-0.629
1850,8,-0.679
1850,9,-0.737
1850,10,-0.732
1850,11,-0.648
1850,12,-0.633
1851,1,-0.637
1851,2,-0.666
1851,3,-0.652
1851,4,-0.565
1851,5,-0.548
1851,6,-0.497
1851,7,-0.514
1851,8,-0.525
1851,9,-0.564
1851,10,-0.553
1851,11,-0.541
1851,12,-0.558
1852,1,-0.567
1852,2,-0.609
1852,3,-0.624
1852,4,-0.636
1852,5,-0.662
1852,6,-0.606
1852,7,-0.633
1852,8,-0.655
1852,9,-0.627
1852,10,-0.61
1852,11,-0.628
1852,12,-0.604
1853,1,-0.574
1853,2,-0.504
1853,3,-0.493
1853,4,-0.522
1853,5,-0.512
1853,6,-0.581
1853,7,-0.646
1853,8,-0.669
1853,9,-0.603
1853,10,-0.6
1853,11,-0.591
1853,12,-0.641
1854,1,-0.647
1854,2,-0.66
1854,3,-0.66
1854,4,-0.554
1854,5,-0.463
1854,6,-0.424
1854,7,-0.306
1854,8,-0.215
1854,9,-0.224
1854,10,-0.139
1854,11,-0.119
1854,12,-0.093
1855,1,-0.156
1855,2,-0.181
1855,3,-0.209
1855,4,-0.319
1855,5,-0.368
1855,6,-0.482
1855,7,-0.466
1855,8,-0.525
1855,9,-0.549
1855,10,-0.613
1855,11,-0.662
1855,12,-0.617
1856,1,-0.574
1856,2,-0.611
1856,3,-0.635
1856,4,-0.671
1856,5,-0.664
1856,6,-0.556
1856,7,-0.636
1856,8,-0.632
1856,9,-0.631
1856,10,-0.717
1856,11,-0.785
1856,12,-0.864
1857,1,-0.897
1857,2,-0.878
1857,3,-0.852
1857,4,-0.837
1857,5,-0.836
1857,6,-0.816
1857,7,-0.754
1857,8,-0.76
1857,9,-0.723
1857,10,-0.599
1857,11,-0.508
1857,12,-0.448
1858,1,-0.445
1858,2,-0.436
1858,3,-0.432
1858,4,-0.383
1858,5,-0.328
1858,6,-0.417
1858,7,-0.464
1858,8,-0.425
1858,9,-0.418
1858,10,-0.386
1858,11,-0.333
1858,12,-0.321
1859,1,-0.31
1859,2,-0.307
1859,3,-0.311
1859,4,-0.298
1859,5,-0.301
1859,6,-0.233
1859,7,-0.247
1859,8,-0.26
1859,9,-0.387
1859,10,-0.453
1859,11,-0.493
1859,12,-0.498
1860,1,-0.479
1860,2,-0.435
1860,3,-0.381
1860,4,-0.405
1860,5,-0.485
1860,6,-0.629
1860,7,-0.743
1860,8,-0.766
1860,9,-0.679
1860,10,-0.706
1860,11,-0.752
1860,12,-0.778
1861,1,-0.792
1861,2,-0.797
1861,3,-0.834
1861,4,-0.865
1861,5,-0.791
1861,6,-0.681
1861,7,-0.677
1861,8,-0.729
1861,9,-0.746
1861,10,-0.777
1861,11,-0.746
1861,12,-0.757
1862,1,-0.766
1862,2,-0.829
1862,3,-0.855
1862,4,-0.863
1862,5,-0.948
1862,6,-1.058
1862,7,-0.853
1862,8,-0.737
1862,9,-0.702
1862,10,-0.625
1862,11,-0.595
1862,12,-0.579
1863,1,-0.589
1863,2,-0.575
1863,3,-0.578
1863,4,-0.591
1863,5,-0.539
1863,6,-0.451
1863,7,-0.577
1863,8,-0.612
1863,9,-0.614
1863,10,-0.663
1863,11,-0.675
1863,12,-0.648
1864,1,-0.615
1864,2,-0.598
1864,3,-0.574
1864,4,-0.524
1864,5,-0.552
1864,6,-0.594
1864,7,-0.473
1864,8,-0.508
1864,9,-0.557
1864,10,-0.567
1864,11,-0.58
1864,12,-0.604
1865,1,-0.603
1865,2,-0.582
1865,3,-0.543
1865,4,-0.505
1865,5,-0.415
1865,6,-0.369
1865,7,-0.365
1865,8,-0.362
1865,9,-0.334
1865,10,-0.298
1865,11,-0.302
1865,12,-0.326
1866,1,-0.289
1866,2,-0.3
1866,3,-0.312
1866,4,-0.357
1866,5,-0.373
1866,6,-0.261
1866,7,-0.306
1866,8,-0.278
1866,9,-0.269
1866,10,-0.242
1866,11,-0.27
1866,12,-0.225
1867,1,-0.251
1867,2,-0.236
1867,3,-0.215
1867,4,-0.159
1867,5,-0.08
1867,6,-0.113
1867,7,-0.169
1867,8,-0.233
1867,9,-0.23
1867,10,-0.237
1867,11,-0.183
1867,12,-0.191
1868,1,-0.172
1868,2,-0.165
1868,3,-0.198
1868,4,-0.193
